story_palestine_phrase_8472910482," اِنْتَشَرَتْ حَمْلَةَ الْمُقَاطَعَةِ فِي كُلِّ بُلْدَانِ الْعَالَمِ وَطَالَبَتْ كُلَّ الشُّعُوبِ الْعَالَمِيَّةِ بِإِيقَافِ الْعُدْوَانِ عَلَى قِطَاعِ غَزَّةَ وَخُرُوجِ الْمُحْتَلِّ الصُّهْيُونِيِّ مِنْ كَامِلِ الْأَرَاضِي الْفِلَسْطِينِيَّةِ ! فَتَرَى آلَافَ النَّاسِ في مَسِيرَاتٍ سِلْمِيَّةٍ  وَمَلَايِينَ الْمُحْتَجِّينَ يَرْفَعُونَ عَلَمَ زَهْرَةِ الْمَدَائِنَ وَيَهْتِفُونَ بِصَوْتٍ وَاحِدٍ >> اَلْحُرِّيَّة لِغَزَّة وَشَعْبِهَا ! >>","La campagne de boycott s'est étendue à tous les pays du monde et a exigé que tous les peuples du monde mettent fin à l'agression contre la bande de Gaza et quittent l'occupant. Sionistes de toutes les terres palestiniennes ! Vous voyez des milliers de personnes participer à des marches pacifiques et des millions de manifestants brandir le drapeau de la Rose de Médine et scander d’une seule voix << Liberté pour Gaza et ses habitants ! >>","The boycott campaign spread to all countries of the world and demanded that all peoples of the world stop the aggression against the Gaza Strip and leave the occupier. Zionists from all Palestinian lands! You see thousands of people in peaceful marches and millions of protesters raising the flag of the Rose of Medina and chanting with one voice, “Freedom for Gaza and its people!>>"
story_palestine_phrase_4829103948,"اِشْتَدَّ الضَّغْطُ عَلَى الْجَيْشِ الْمُحْتَلِّ ، وَتَنَاقَصَتْ مَوَارِدُهُ وَاسْتَقَالَ مِئَاتُ جُنُودُهِ خَوْفًا مِنْ الْعِقَابِ . . كَانَتْ أَيَّامًا مَوْعُودَةً وَحَدَثًا تَارِيخِيًّا يُحْفَرُ فِي وَاجِهَةِ كُتُبِ الْمُؤَرِّخِينَ ! وُجُوهَ النَّاسِ فِي الشَّوَارِعِ وَالسَّاحَاتِ وَكُلِّ الطُّرُقَاتِ تَشْتَعِلُ بِغَضَبٍ عَارِمٍ وَاسْتِيَاءٍ مِنْ الْجَرَائِمِ الصُّهْيُونِيَّةِ ! مُعْلِنِينَ عَنْ مَوْقِفِهِمْ ثَابِتِينَ لَا مُوَلِّينَ عَنْ شَعْبِنَا فِي غَزَّةَ .","La pression sur l’armée d’occupation s’est intensifiée, ses ressources ont diminué et des centaines de ses soldats ont démissionné par peur d’être punis. . On leur promettait des jours et un événement historique qui resteraient gravés sur les livres d’historiens ! Les visages des gens dans les rues, sur les places et sur toutes les routes brûlent d’une colère et d’un ressentiment écrasants contre les crimes sionistes ! Déclarant leur position ferme, sans s’écarter de notre peuple à Gaza.","The pressure on the occupying army intensified, its resources diminished, and hundreds of its soldiers resigned for fear of punishment. . They were promised days and a historical event that will be engraved on the face of historians’ books! People's faces in the streets, squares and all roads are burning with overwhelming anger and resentment against Zionist crimes! Declaring their steadfast position, not swaying from our people in Gaza."
story_palestine_phrase_1029384756,"شَعَرَ جُنُودُ الْمُحْتَلِّ الصُّهْيُونِيِّ بِالْهَزِيمَةِ وَالضُّعْفِ أَمَامَ الْأَعْدَادِ الْمَهُولَةِ الَّتِي مَا انْفَكَّتْ تَضْغَطُ بِاسْتِمْرَارٍ مُطَالِبَةً بِخُرُوجِهِمْ مِنْ الْأَرَاضِي المُقَدَّسَة! وَلَمْ يَكُنْ لِلْمُحْتَجِّينَ ذَرَّةُ خَوْفٍ فِي قُلُوبِهِمْ إِيمَانًا مِنْهُمْ بِالْقَضِيَّةِ الْفِلَسْطِينِيَّةِ. وَعَلَيْهِ، اِسْتَسْلَمَ الْكِيَانُ الْمُحْتَلُّ مُعْلِنًا خُرُوجُهُ مِنْ أَرَاضِينَا !","Les soldats de l’occupation sioniste se sentaient vaincus et faibles face au grand nombre qui ne cessait de se presser et d’exiger leur départ des Terres Saintes ! Les manifestants n’avaient pas la moindre peur dans leur cœur en raison de leur croyance dans la cause palestinienne. En conséquence, l’entité occupante s’est rendue, annonçant son départ de nos terres !","The soldiers of the Zionist occupation felt defeated and weak in the face of the huge numbers that kept constantly pressing, demanding their exit from the Holy Lands! The protesters did not have an ounce of fear in their hearts due to their belief in the Palestinian cause. Accordingly, the occupying entity surrendered, announcing its departure from our lands!"

story_Hafar_Ferid_phrase_8472910482,"كَانَ فَرِيدٌ الرُّوبُوتُ الذَّكِيُّ يُحَلِّقُ بِمَرْكَبَتِهِ فَوْقَ قَرْيَةٍ صَغِيرَةٍ.","Le robot intelligent Ferid survolait un petit village à bord de son vaisseau spatial.","The intelligent robot Ferid was flying his spacecraft over a small village."
story_Hafar_Ferid_phrase_5739201847,"فَجْأَةً، لَمَحَ جَمْعًا غَفِيرًا مِنَ النَّاسِ","Soudain, il aperçut une grande foule de personnes.","Suddenly, he spotted a large crowd of people."
story_Hafar_Ferid_phrase_2948103948,"تُرَى مَا الذِي جَعَلَهُمْ يَجْتَمِعُونَ فِي مَكَانٍ وَاحِدٍ؟","Qu'est-ce qui les a réunis tous au même endroit ?","What could have brought them all together in one place?"
story_Hafar_Ferid_phrase_1049284756,"نَزَلَ فَرِيدٌ بَيْنَهُمْ بِمَرْكَبَتِهِ الرَّمَادِيَّةِ وَأَلْقَى عَلَيْهِمْ التَّحِيَّةَ. وَبَعْدَ حِوَارٍ قَصِيرٍ، فَهِمَ فَرِيدُ النَّبِيهُ سِرَّ الاجْتِمَاعِ الكَبِيرِ.","Ferid atterrit parmi eux à bord de son vaisseau spatial gris et les salua. Après une courte conversation, le brillant Ferid comprit la raison de ce grand rassemblement.","Ferid landed among them in his gray spacecraft and greeted them. After a brief conversation, the clever Ferid understood the reason behind the large gathering."
story_Hafar_Ferid_phrase_8374910294,"لَقَدْ انْحَبَسَتْ الأَمْطَارُ عَنِ القَرْيَةِ، فَعَمَّ الجَفَافُ وَلَمْ تَعُدْ الأَرْضُ تُنْتِجُ حُبُوبًا وَلَا خُضَرًا وَلَا غِلَالًا، فَقَرَّرَ الآبَاءُ مُغَادَرَةَ القَرْيَةِ.","Les pluies avaient cessé de tomber sur le village, provoquant une grave sécheresse. La terre ne produisait plus ni céréales, ni légumes, ni récoltes. Les pères décidèrent donc de quitter le village.","The rains had stopped falling on the village, causing a severe drought. The land no longer produced grains, vegetables, or crops, so the fathers decided to leave the village."
story_Hafar_Ferid_phrase_4728103948,"قَالَ فَرِيدٌ مُسْتَنْكِرًا: هَلْ سَتَذْهَبُونَ لِلْعَمَلِ فِي المَدِينَةِ وَتَتْرُكُونَ النِّسَاءَ وَالأَطْفَالَ لِوَحْدِهِمْ؟","Ferid demanda avec étonnement : « Allez-vous partir travailler en ville en laissant les femmes et les enfants seuls ? »","Ferid asked in surprise, « Are you going to work in the city and leave the women and children behind on their own? »"
story_Hafar_Ferid_phrase_9284710482,"أَجَابَ أَحَدُهُمْ: مَا بِاليَدِ حِيلَةٌ. مِنْ أَيْنَ نُطْعِمُ أَهْلَنَا إِذَا لَمْ نَعْمَلْ؟ سَنَمُوتُ جُوعًا إِنْ بَقِينَا مَكْتُوفِي الأَيْدِي.","L'un d'eux répondit : « Nous n'avons pas d'autre choix. Comment nourrir nos familles si nous ne travaillons pas ? Nous mourrons de faim si nous restons les bras croisés. »","One of them replied, « We have no other choice. How can we feed our families if we do not work? We will starve if we remain idle. »"
story_Hafar_Ferid_phrase_3849102947,"فَكَّرَ فَرِيدٌ لِوَهْلَةٍ ثُمَّ قَالَ: مَا رَأْيُكُمْ لَوْ نَتَعَاوَنُ جَمِيعًا عَلَى حَفْرِ بِئْرٍ عَمِيقَةٍ، تَسْقِي مَزْرُوعَاتَكُمْ وَتَعُودُ بِالنَّفْعِ عَلَيْكُمْ وَعَلَى حَيَوَانَاتِكُمْ؟","Ferid réfléchit un instant puis dit : « Que diriez-vous de travailler tous ensemble pour creuser un puits profond qui irriguera vos cultures et profitera à vous ainsi qu'à vos animaux ? »","Ferid thought for a moment, then said, « What if we all work together to dig a deep well that will irrigate your crops and benefit both you and your animals? »"
story_Hafar_Ferid_phrase_5729104839,"اِسْتَحْسَنَ أَهْلُ القَرْيَةِ الفِكْرَةَ وَفِي الحَالِ، أَخْرَجَ فَرِيدٌ قِطَعَ المُعِدَّاتِ العَصْرِيَّةِ مِنْ مَرْكَبَتِهِ الفَرِيدَةِ وَتَعَاوَنَ مَعَ الأَهَالِي فِي صُنْعِ حَفَّارَةٍ.","Les habitants du village approuvèrent cette idée. Aussitôt, Ferid sortit de son remarquable vaisseau spatial des équipements modernes et travailla avec les villageois pour fabriquer une foreuse.","The villagers welcomed the idea. Immediately, Ferid took modern equipment out of his remarkable spacecraft and worked together with the villagers to build a drilling machine."
story_Hafar_Ferid_phrase_1049284729,"وَبَعْدَ ثَلَاثَةِ أَيَّامٍ مِنَ العَمَلِ الجَادِّ وَالمُتَوَاصِلِ، انْتَهَى فَرِيدٌ وَفَرِيقُهُ مِنَ الحَفْرِ، فَتَدَفَّقَتِ المِيَاهُ الغَزِيرَةُ وَارْتَوَتِ الأَرْضُ وَالمَزْرُوعَاتُ وَعَادَتِ الحَيَاةُ الرَّغِيدَةُ إِلَى القَرْيَةِ.","Après trois jours de travail acharné et ininterrompu, Ferid et son équipe achevèrent le creusement. Une eau abondante jaillit, la terre et les cultures furent irriguées, et la prospérité revint au village.","After three days of hard and continuous work, Ferid and his team completed the digging. Abundant water gushed forth, the land and crops were watered, and prosperity returned to the village."
story_Hafar_Ferid_phrase_9384729104,"بِفَضْلِ ذَكَاءِ فَرِيدٍ وَمُبَادَرَتِهِ لِفِعْلِ الخَيْرِ، عَدَلَ الآبَاءُ عَنْ مُغَادَرَةِ قَرْيَتِهِمْ وَتَمَسَّكُوا بِأَرْضِهِمْ، فَاطْمَأَنَّتِ النِّسَاءُ وَابْتَهَجَ الأَطْفَالُ، وَعَرَفُوا أَنَّ الإِنْسَانَ يَسْتَمِدُّ قُوَّتَهُ مِنْ تَشَبُّثِهِ بِأَرْضِهِ وَتَعَاوُنِهِ مَعَ أَهْلِهِ.","Grâce à l'intelligence de Ferid et à son initiative pour faire le bien, les pères renoncèrent à quitter leur village et restèrent attachés à leur terre. Les femmes furent rassurées, les enfants se réjouirent, et tous comprirent que la véritable force de l'être humain vient de son attachement à sa terre et de sa coopération avec les siens.","Thanks to Ferid's intelligence and his initiative to do good, the fathers abandoned the idea of leaving their village and remained devoted to their land. The women felt reassured, the children rejoiced, and everyone realized that a person's true strength comes from remaining attached to their land and working together with their community."

story_cartage_phrase_1847291048,"يُحِبُّ فَرِيدٌ دِرَاسَةَ التَّارِيخِ وَالْقِرَاءَةَ عَنْ الشَّخْصِيَّاتِ الأُسْطُورِيَّةِ وَالْمَعْرِفَةَ عَنْ الْحَضَارَاتِ وَالْإِمْبِرَاطُورِيَّاتِ الْقَدِيمَةِ، فَأَرَادَ أَنْ يَصْنَعَ آلَةً لِلسَّفَرِ عَبْرَ الزَّمَنِ يَغُوصُ بِهَا فِي أَعْمَاقِ التَّارِيخِ لِيَنْزَعَ السِّتَارَ عَنْ أَسْرَارِهِ وَأَعَاجِيبِهِ.","Ferid aimait étudier l'histoire, lire sur les personnages légendaires et découvrir les civilisations et les empires de l'Antiquité. Il décida donc de construire une machine à voyager dans le temps afin de plonger au cœur de l'histoire et d'en dévoiler les secrets et les merveilles.","Ferid loved studying history, reading about legendary figures, and learning about ancient civilizations and empires. So, he decided to build a time machine that would allow him to journey deep into history and uncover its secrets and wonders."
story_cartage_phrase_2739201847,"وَبَعْدَ أَيَّامٍ مُتَوَاصِلَةٍ وَكَثِيرٍ مِنْ الْجُهْدِ وَالْإِصْرَارِ، نَجَحَ فِي اخْتِرَاعِهِ الرَّائِعِ وَقَرَّرَ أَنْ يَنْتَقِلَ إِلَى الْمَاضِي الْبَعِيدِ فِي زَمَنِ الْإِمْبِرَاطُورِيَّةِ الْقَرْطَاجِيَّةِ، فَهُوَ مُولَعٌ بِالتَّارِيخِ التُّونِسِيِّ وَيُحِبُّ أَنْ يَعْرِفَ الْمَزِيدَ عَنْ تِلْكَ الْحَضَارَةِ.","Après plusieurs jours d'efforts continus et de persévérance, il réussit à mettre au point sa remarquable invention et décida de voyager jusqu'à l'époque de l'Empire carthaginois. Passionné par l'histoire de la Tunisie, il souhaitait en apprendre davantage sur cette grande civilisation.","After many days of continuous effort and determination, he successfully completed his remarkable invention and decided to travel back to the era of the Carthaginian Empire. He was passionate about Tunisian history and eager to learn more about that great civilization."
story_cartage_phrase_3948103948,"شَغَّلَ الرُّوبُوتُ الْعَبْقَرِيُّ الْآلَةَ، وَهُووُووبْ! اِنْتَقَلَ مِنْ مَكَانِهِ وَوَجَدَ نَفْسَهُ دَاخِلَ إِسْطَبْلٍ بَابُهُ مَفْتُوحٌ. فَمَا إِنْ خَرَجَ مِنْهُ ذُهِلَ مِمَّا رَآهُ مِنْ مِعْمَارٍ حَضَارِيٍّ فِي الْمَنَازِلِ وَالطُّرُقَاتِ وَالْأَحْيَاءِ السَّكَنِيَّةِ، وَخَاصَّةً الْحَوَانِيتِ التِّجَارِيَّةِ الَّتِي تُظْهِرُ إِتْقَانَ الْقَرْطَاجِيِّينَ لِحِرَفِهِمْ وَأَعْمَالِهِمْ.","Le robot de génie mit la machine en marche et... vrouuum ! En un instant, il se retrouva dans une étable dont la porte était grande ouverte. Dès qu'il en sortit, il fut émerveillé par la beauté de l'architecture des maisons, des rues et des quartiers, en particulier par les boutiques qui témoignaient du savoir-faire exceptionnel des Carthaginois.","The brilliant robot activated the machine and... whoooosh! In an instant, he found himself inside a stable with its door wide open. As soon as he stepped outside, he was amazed by the magnificent architecture of the houses, streets, and neighborhoods, especially the shops that showcased the Carthaginians' remarkable craftsmanship."
story_cartage_phrase_4049284756,"وَبَيْنَمَا هُوَ يَتَفَسَّحُ، سَمِعَ مَجْمُوعَةً مِنَ الْبَحَّارَةِ يَتَخَاصَمُونَ حَوْلَ مَكَانِ سُفُنِهِمْ. فَهَذَا يَصِيحُ وَهَذَا يَحْتَجُّ وَهَذَا غَاضِبٌ كَالْمَجْنُونِ يُرِيدُ افْتِكَاكَ الْمَكَانِ.","Alors qu'il se promenait, il entendit un groupe de marins se disputer au sujet de l'emplacement de leurs navires. L'un criait, un autre protestait, tandis qu'un troisième, fou de colère, voulait s'emparer de la place.","While strolling around, he heard a group of sailors arguing over where to dock their ships. One was shouting, another was protesting, and another, furious with anger, was determined to claim the spot."
story_cartage_phrase_5374910294,"فَرِيدٌ يَعْلَمُ أَنَّ الْغَضَبَ فِي الْكَلَامِ لَا يُجْدِي نَفْعًا وَأَنَّ الْهُدُوءَ وَالْتَّعَقُلَ هُمَا أَهَمُّ شَيْءٍ فِي النِّقَاشِ , فَتَدَخَّلَ لِفَضِّ النِّزَاعِ بَالْحُسْنَى و عَرَفَ أَنَّ جَمِيعَ التُّجَّارِ كَذَلِكَ يُعَانُونَ مِنْ هَذِهِ الْمُشْكِلَةِ وَأَنَّ الْمَدِينَةَ يَنْقُصُهَا مَرْفَأٌ تَسْتَقِرُّ فِيهِ السُّفُنُ . فَحَتَّى قَوَارِبُ الْجَيْشِ تَتَكَسَّرُ وَتَغْرَقُ أَحْيَانًا مِنْ الصُّخُورِ وَالتَّلَاطُمِ فِي بَعْضِهَا كَذَلِك . فَمَا الْعَمَلُ ؟","Ferid savait que la colère ne résolvait rien et que le calme ainsi que la sagesse étaient essentiels pour régler un conflit. Il intervint donc avec diplomatie et découvrit que tous les marchands souffraient du même problème : la ville ne possédait pas de port où les navires pouvaient accoster. Même les bateaux de la marine se brisaient parfois contre les rochers ou entraient en collision les uns avec les autres. Que faire ?","Ferid knew that anger never solved anything and that calmness and wisdom were the keys to resolving disputes. He stepped in peacefully and soon realized that all the merchants suffered from the same problem: the city lacked a proper harbor where ships could dock. Even the navy's vessels were sometimes damaged or sank after striking rocks or colliding with one another. What could be done?"
story_cartage_phrase_6728103948,"فَكَّرَ فَرِيدٌ مَلِيًّا... وَنَظَرَ حَوْلَهُ إِلَى الشَّاطِئِ الْكَبِيرِ، فَاسْتَنْبَطَ فِكْرَةً أَرَادَ أَنْ يَقْتَرِحَهَا عَلَى عَلِيسَةَ مَلِكَةِ الْبِلَادِ وَمُسْتَشَارِيهَا بِحُضُورِ مَجْلِسِ الشُّيُوخِ، وَهِيَ بِنَاءُ مِينَاءٍ عِمْلَاقٍ فِي الْمَدِينَةِ يَحْتَضِنُ كُلَّ السُّفُنِ. فَوَافَقُوا جَمِيعًا عَلَى الْفِكْرَةِ، وَجَمَعُوا الْمُخْتَصِّينَ فِي الْبِنَاءِ وَكُلَّ الْعُمَّالِ لِدِرَاسَةِ الْمَشْرُوعِ.","Ferid réfléchit longuement et observa la vaste côte. Une idée lui vint alors à l'esprit : proposer à la reine Elyssa, à ses conseillers et au Conseil des Anciens de construire un immense port capable d'accueillir tous les navires. Tous approuvèrent cette proposition et réunirent les spécialistes du bâtiment ainsi que les ouvriers pour étudier le projet.","Ferid thought carefully and looked across the vast shoreline. Then he came up with an idea to present to Queen Elissa, her advisers, and the Council of Elders: to build a gigantic harbor capable of accommodating every ship. Everyone approved the proposal, and architects, builders, and workers gathered to plan the project."
story_cartage_phrase_7284710482,"تَعَاضَدَتْ جُهُودُ الْمُصَمِّمِينَ وَتَكَاتَفَ الْجَمِيعُ فِي اسْتِنْبَاطِ نَمُوذَجٍ مُنَاسِبٍ كَيْ تَتَمَكَّنَ كُلُّ أَنْوَاعِ السُّفُنِ مِنَ الرُّسُوِّ، وَيَكُونَ النِّظَامُ عَادِلًا بَيْنَ مَرَاكِبِ الصَّيْدِ وَالْمَرَاكِبِ التِّجَارِيَّةِ وَالسُّفُنِ الْحَرْبِيَّةِ.","Les concepteurs unirent leurs efforts et collaborèrent pour mettre au point un modèle adapté permettant à tous les types de navires d'accoster, tout en garantissant une organisation équitable entre les bateaux de pêche, les navires marchands et les bâtiments de guerre.","The designers combined their efforts, and everyone worked together to create a suitable model that would accommodate every type of vessel while ensuring a fair system for fishing boats, merchant ships, and warships alike."
story_cartage_phrase_8849102947,"لَكِنَّهُمْ اخْتَلَفُوا فِي شَكْلِهِ وَمُكَوِّنَاتِهِ... فَتَدَخَّلَ فَرِيدٌ مُقْتَرِحًا التَّصْمِيمَ الْمُرَكَّبَ مِنْ جُزْأَيْنِ مُتَرَابِطَيْنِ: جُزْءٌ أَوَّلٌ دَائِرِيُّ الشَّكْلِ خَاصٌّ بِالسُّفُنِ الْحَرْبِيَّةِ، وَجُزْءٌ ثَانٍ كَبِيرٌ جِدًّا وَوَاسِعٌ لِكَافَّةِ الْمَرَاكِبِ التِّجَارِيَّةِ وَقَوَارِبِ الصَّيْدِ وَالزَّوَارِقِ التَّرْفِيهِيَّةِ لِكُلِّ السُّكَّانِ.","Cependant, ils ne parvenaient pas à s'entendre sur sa forme et son organisation. Ferid proposa alors un port composé de deux parties reliées entre elles : une section circulaire réservée aux navires de guerre et une seconde, beaucoup plus vaste, destinée aux navires marchands, aux bateaux de pêche et aux embarcations de plaisance.","However, they disagreed about its design and layout. Ferid stepped in with a proposal for a two-part harbor: a circular section dedicated to warships, and a much larger section for merchant vessels, fishing boats, and recreational boats."
story_cartage_phrase_9729104839,"أُعْجِبَ الْفَرِيقُ بِمُبَادَرَةِ الرُّوبُوت الْعَبْقَرِيِّ وَاَتَّفَقُوا عَلَى الْبَدْءِ فِي الْأَشْغَالِ بَعْدَ التَّشَاوُرِ مَعَ عِلِيسَة وَمَجْلِسِ الشُّيُوخِ ، فَكَانَ الْعَمَلُ عَلَى يَدٍ وَسَاقَ وَتَكَاتَفَ جَمِيعُ الْأَهَالِي فِي الْمَشْرُوعِ الْهَائِلِ ، فَتَرَاهُمْ يَسْتَعْمِلُونَ كُلُّ الْأَدَوَاتِ الْيَدَوِيَّةِ وَالْمَصْنُوعَةِ ، وَسَاعَدَهُمْ فَرِيدٌ بِآلَاتِهِ بِالْغَوْصِ تَحْتَ الْمَاءِ وَوَضْعِ الْحَجَرِ الْأَسَاسِ لِلْمِينَاء","L'équipe fut impressionnée par l'initiative du robot de génie et décida de commencer les travaux après consultation avec la reine Elyssa et le Conseil des Anciens. Les travaux débutèrent aussitôt, et toute la population participa à cet immense projet. Chacun utilisa les outils disponibles, tandis que Ferid mit ses machines au service des ouvriers pour plonger sous l'eau et poser les fondations du port.","The team admired the brilliant robot's initiative and agreed to begin construction after consulting Queen Elissa and the Council of Elders. Work quickly got underway, and the entire community joined forces. Everyone used every tool available, while Ferid used his advanced machines to dive underwater and lay the harbor's foundation."
story_cartage_phrase_1049284729,"وَلَمَّا تَحَقَّقَ الْمَشْرُوعُ الْوَطَنِيُّ ، تَمَّ تَزْيِينُهُ وَالِاعْتِنَاءُ بِهْ وَأُقِيمَ حَفْلُ اِفْتِتَاحِهِ وَأَصْبَحَتْ قَرْطَاجُ مَدِينَةً شَهِيرَةً فِي التِّجَارَةِ مَعَ الْإِمْبِرَاطُورِيَّاتِ الْأُخْرَى وَأَضْحَى لَهَا أُسْطُولٌ حَرْبِيٌّ عَتِيدٌ وَتَنْظِيمٌ مُحْكَمٌ جِدًّا فِي الصَّيْدِ الْبَحْرِيِّ وَالتِّجَارَةِ وَالتَّرْفِيهِ . ","Une fois ce grand projet national achevé, le port fut embelli et soigneusement entretenu, puis inauguré lors d'une grande cérémonie. Carthage devint une cité célèbre pour son commerce avec les autres empires et se dota d'une puissante flotte militaire ainsi que d'une organisation exemplaire pour la pêche, le commerce et les activités maritimes.","Once the great national project was completed, it was beautifully decorated and carefully maintained, and a grand inauguration ceremony was held. Carthage became renowned for its trade with other empires and possessed a powerful naval fleet as well as an efficient system for fishing, commerce, and maritime activities."
story_cartage_phrase_1138472910,"فَعَمَّ الْخَيْرُ عَلَى أَهْلِ الْبِلَادِ وَازْدَهَرَتْ أَحْوَالُهم ، فَلَوْ لَمْ يَتَعَاوَنْ الْجَمِيعُ وَ لم يُفَكِّرُوا فِي مَصْلَحَةِ وَطَنِهِمْ قَرْطَاجَ  مَا كَانَ هَذَا الْمَشْرُوعُ الرَّائِعُ لِيَنْجَحَ. فَحُبَّهُمْ الشَّدِيدُ لِلْعَمَلِ وَالِاجْتِهَادِ هُوَ أَسَاسُ كُلِّ تَأَلُّقٍ . ","La prospérité se répandit dans tout le pays et les conditions de vie de la population s'améliorèrent considérablement. Sans la coopération de tous et sans leur volonté de placer l'intérêt de leur patrie, Carthage, au premier plan, ce magnifique projet n'aurait jamais vu le jour. Leur amour du travail et leur persévérance furent la clé de tous leurs succès.","Prosperity spread throughout the land, and the people's lives flourished. Had everyone not worked together and put the interests of their homeland, Carthage, first, this remarkable project would never have succeeded. Their dedication to hard work and perseverance was the foundation of all their achievements."

story_pharo_phrase_1847291048,"بَيْنَمَا كَانَ فَرِيدٌ يَفْحَصُ مَكْتَبَتَهُ ، وَجَدَ مَخْطُوطَةً مَصْرِيَّةً قَدِيمَةً جِدًّا تَرْجِعُ لِلْعَصْرِ اَلْفِرْعَوْنِيِّ ، شَكْلُهَا غَرِيبٌ وَعَلَيْهَا كِتَابَاتٌ مُبْهَمَةٌ وَبَشَرٌ بِرُؤُوسِ حَيَوَانَاتٍ ، فَقَرَّرَ حَالاً أَنْ يُسَافِرَ إِلَى اَلْحَضَارَةِ اَلْفِرْعَوْنِيَّةِ عَبْرَ اَلزَّمَنِ","Alors qu'il examinait sa bibliothèque, Ferid découvrit un très ancien manuscrit égyptien datant de l'époque pharaonique. Son apparence était étrange, recouverte d'écritures mystérieuses et de dessins représentant des êtres humains à tête d'animal. Il décida aussitôt de voyager dans le temps jusqu'à la civilisation de l'Égypte antique.","While examining his library, Ferid discovered a very ancient Egyptian manuscript dating back to the Pharaonic era. It had a strange appearance, covered with mysterious writings and illustrations of people with animal heads. He immediately decided to travel through time to the civilization of Ancient Egypt."
story_pharo_phrase_2739201847,"اِنْتَقَلَ اَلرُّوبُوت إِلَى عَصْرِ اَلْفَرَاعِنَةِ اَلْقُدَامَى بِآلَاف اَلسِّنِين قَبْلَ اَلْمِيلَادِ، فَوَجَدَ اَلْمُفَاجَأَةَ ! يَا إِلَهِي ! مَدِينَةٌ بَيْضَاءُ تُشِعُّ كُلُّهَا بِالْأَلْوَانِ اَلْفَاقِعَةِ ، فَتَرَى نُقُوشًا مَنْحُوتَةً بِكُلِّ دِقَّةٍ وَتَفَانٍ تُمَثِّلُ رُسُومًا عَلَى اَلْحِيطَانِ لِلْبَشَرِ مَعَهُمْ حَيَوَانَاتِهُمْ ، فَزَادَ اِنْبِهَارُهُ بِمَا لَاحَظَهُ مِنْ مَبَانٍ عَالِيَةٍ وَمَجَارِي لِلْمِيَاهِ تَشُقُّ الْمَدِينَةَ شَقًّا .","Le robot voyagea des milliers d'années avant notre ère jusqu'à l'époque des anciens pharaons et fut émerveillé par ce qu'il découvrit. Une magnifique cité blanche et dorée rayonnait de couleurs éclatantes. Les murs étaient ornés de sculptures finement gravées représentant des hommes et leurs animaux, tandis que de hauts bâtiments et des canaux traversaient toute la ville.","The robot traveled thousands of years back to the age of the ancient pharaohs and was astonished by what he saw. A magnificent golden-white city shimmered with brilliant colors. Beautifully carved reliefs decorated the walls, depicting people alongside their animals, while towering buildings and waterways stretched across the city."
story_pharo_phrase_3948103948,"مَا لَفَتَ اِنْتِبَاهَ فَرِيدٍ هُوَ لِبَاسُ اَلْمَصْرِيِّينَ وَمَا يَضَعُونَهُ فَوْقَ رُؤُوسِهِمْ وَالرُّمُوزَ الَّتِي تُشْبِهُ اَلْقِطَطَ وَعَدِيدَ التَّمَاثِيلِ الْكَبِيرَةِ وَسَطَ الْمَدِينَةِ وَفِي جَمِيعِ الْمَتَاجِرِ وَالْأَحْيَاءِ وَحَتَّى فَوْقَ الْمَنَازِلِ ، فَعَدَدٌ كَبِيرٌ مِنْهَا مَطْلِيٌّ بِالذَّهَبِ اَلْخَالِصِ وَمُرَصَّعٌ بالْأَحْجَارِ اَلْكَرِيمَةِ .","Ce qui attira le plus l'attention de Ferid fut les vêtements des Égyptiens, leurs coiffes, les symboles représentant des chats, ainsi que les innombrables statues réparties dans toute la ville, les marchés, les quartiers et même sur les maisons. Beaucoup étaient recouvertes d'or pur et ornées de pierres précieuses.","What caught Ferid's attention most was the Egyptians' clothing, their elaborate headwear, the cat-like symbols they displayed, and the countless statues throughout the city, in the markets, neighborhoods, and even atop houses. Many of them were coated in pure gold and decorated with precious gemstones."
story_pharo_phrase_4049284756,"اِقْتَرَبَ اَلرُّوبُوت مِنْ تِمْثَالٍ كَبِيرٍ لِيُشَاهِدَ رَوْعَةَ اَلنَّقْشِ عَلَيْهِ ، فَلَاحَظَ أَنَّ فَوْقَ حَجَرِهِ قِطٌّ رَابِضٌ وَعَلَيْهِ عَلَامَاتُ اَلْمَرَضِ وَعُسْرِ اَلتَّنَفُّسِ ، فَوَضَعَ يَدِهُ عَلَيْهِ لِيَنْزِلَهُ مِنْ فَوْقِهِ ، وَيَا لَيْتَهُ لَمْ يَفْعَلْ ! صَاحَ كُلُّ اَلْأَهَالِي بِجَانِبِهِ بِغَضَبٍ شَدِيدٍ و اَلِتَفُوا حَوْلَهُ لِيُحَاسَبُوهُ عَلَى مَا فَعَل !","Ferid s'approcha d'une grande statue pour admirer la beauté de ses gravures. Il remarqua un chat couché au sommet qui semblait malade et respirait difficilement. Lorsqu'il tendit la main pour le faire descendre, les habitants se mirent aussitôt à crier de colère et l'entourèrent pour lui demander des comptes.","Ferid approached a large statue to admire its magnificent carvings. He noticed a cat lying on top of it that appeared sick and was struggling to breathe. As he reached out to help it down, the townspeople suddenly shouted in anger and surrounded him, demanding an explanation for his actions."
